fips,county,state,seniors,agencies,per_1k_seniors,is_desert
40005,Atoka County,Oklahoma,2673,0,0.0,True
38085,Sioux County,North Dakota,349,0,0.0,True
38083,Sheridan County,North Dakota,420,0,0.0,True
38081,Sargent County,North Dakota,867,0,0.0,True
38075,Renville County,North Dakota,456,0,0.0,True
38073,Ransom County,North Dakota,1222,0,0.0,True
22023,Cameron Parish,Louisiana,924,0,0.0,True
22021,Caldwell Parish,Louisiana,1727,0,0.0,True
22007,Assumption Parish,Louisiana,4172,0,0.0,True
40033,Cotton County,Oklahoma,1042,0,0.0,True
40025,Cimarron County,Oklahoma,563,0,0.0,True
40011,Blaine County,Oklahoma,1685,0,0.0,True
40007,Beaver County,Oklahoma,978,0,0.0,True
21219,Todd County,Kentucky,2083,0,0.0,True
40003,Alfalfa County,Oklahoma,1135,0,0.0,True
39171,Williams County,Ohio,7212,0,0.0,True
39159,Union County,Ohio,8450,0,0.0,True
39131,Pike County,Ohio,4974,0,0.0,True
39125,Paulding County,Ohio,3572,0,0.0,True
39117,Morrow County,Ohio,6602,0,0.0,True
39115,Morgan County,Ohio,3032,0,0.0,True
39105,Meigs County,Ohio,4575,0,0.0,True
39101,Marion County,Ohio,11958,0,0.0,True
40045,Ellis County,Oklahoma,869,0,0.0,True
40043,Dewey County,Oklahoma,842,0,0.0,True
21211,Shelby County,Kentucky,8183,0,0.0,True
38047,Logan County,North Dakota,513,0,0.0,True
39047,Fayette County,Ohio,5175,0,0.0,True
39039,Defiance County,Ohio,7461,0,0.0,True
39031,Coshocton County,Ohio,7218,0,0.0,True
21209,Scott County,Kentucky,7556,0,0.0,True
21207,Russell County,Kentucky,3729,0,0.0,True
21201,Robertson County,Kentucky,420,0,0.0,True
21197,Powell County,Kentucky,2048,0,0.0,True
21191,Pendleton County,Kentucky,2496,0,0.0,True
21217,Taylor County,Kentucky,4660,0,0.0,True
21215,Spencer County,Kentucky,2981,0,0.0,True
21213,Simpson County,Kentucky,3167,0,0.0,True
21165,Menifee County,Kentucky,1363,0,0.0,True
